id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag
1,UNDP - UN Development Programme,undp.org,https://www.undp.org/funding,UN Agency,Global,unknown,Large multilateral; funds projects and organizations; individual fellowships exist separately,high,no
2,UNESCO,unesco.org,https://www.unesco.org/en/funding-opportunities,UN Agency,Global,yes,Fellowships and prizes open to individuals; also funds civil society orgs,high,no
3,ITU - International Telecommunication Union,itu.int,https://www.itu.int/en/ITU-D/Pages/Funding.aspx,UN Agency,Global,unknown,ITU AI for Good Scholars Programme open to individuals; check aiforgood.itu.int separately,high,no
4,ITU AI for Good,aiforgood.itu.int,https://aiforgood.itu.int/about-ai-for-good/scholar-programme/,UN Agency - AI Specific,Global,yes,Scholars Programme explicitly open to individuals; UN-level platform access,high,no
5,UNEP - UN Environment Programme,unep.org,https://www.unep.org/funding-and-grants,UN Agency,Global,unknown,Primarily funds organizations and governments,high,no
6,WHO - World Health Organization,who.int,https://www.who.int/about/funding,UN Agency,Global,unknown,Fellowship programs exist; grant funding mostly to member states,high,no
7,FAO - Food and Agriculture Organization,fao.org,https://www.fao.org/partnerships/resource-mobilization/en/,UN Agency,Global,unknown,Mostly institutional; fellowships occasionally open to individuals,high,no
8,UNICEF,unicef.org,https://www.unicef.org/partnerships,UN Agency,Global,unknown,Primarily institutional partnerships; innovation fund may accept individuals,high,no
9,UN Women,unwomen.org,https://www.unwomen.org/en/partnerships/civil-society,UN Agency,Global,unknown,Mainly civil society organizations; some fellowship components,high,no
10,ILO - International Labour Organization,ilo.org,https://www.ilo.org/global/about-the-ilo/funding/WCMS_166660/lang--en/index.htm,UN Agency,Global,unknown,Mostly institutional and government funding,high,no
11,UNIDO - UN Industrial Development Organization,unido.org,https://www.unido.org/overview-funding-unido,UN Agency,Global,unknown,Technical cooperation; primarily institutional,medium,no
12,UN-Habitat,unhabitat.org,https://unhabitat.org/partners-and-donors,UN Agency,Global,unknown,Urban development focus; primarily institutional,medium,no
13,UNFPA - UN Population Fund,unfpa.org,https://www.unfpa.org/funding,UN Agency,Global,unknown,Fellowship and research grants occasionally open to individuals,medium,no
14,WFP - World Food Programme,wfp.org,https://www.wfp.org/funding,UN Agency,Global,unknown,Primarily humanitarian; innovation challenge grants may be individual-eligible,medium,no
15,UNCTAD,unctad.org,https://unctad.org/funding,UN Agency,Global,unknown,Trade and development; primarily institutional,medium,no
16,UNCDF - UN Capital Development Fund,uncdf.org,https://www.uncdf.org/funding-windows,UN Agency,Global - LDC Focus,unknown,Least Developed Countries focus; innovation grants,medium,no
17,UN Global Pulse,unglobalpulse.org,https://www.unglobalpulse.org/,UN Agency - AI/Data,Global,unknown,Data and AI for development; primarily institutional partnerships,medium,no
