id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag
321,AWDF - African Women's Development Fund,awdf.org,https://awdf.org/grants/,Community Fund / Women's Rights,Africa,yes,Pan-African women's fund; explicitly funds grassroots and unregistered women's groups; nascent/informal movements eligible; regular grant cycles; strong fit,high,no
322,TrustAfrica,trustafrica.org,https://trustafrica.org/grants/,Community Fund / Civil Society,Africa,yes,Pan-African; supports African civil society and social movements; small to mid grants; under-indexed source; strong fit,high,no
323,Urgent Action Fund Africa,urgentactionfund-africa.org,https://urgentactionfund-africa.org/apply/,Rapid Response Fund,Africa,yes,Rapid-response grants for African women human rights defenders; individual-eligible; fast turnaround; deeply under-indexed,high,no
324,Kenya Community Development Foundation (KCDF),kcdf.or.ke,https://kcdf.or.ke/programmes/grants/,Community Foundation,Kenya,yes,Community philanthropy and civil society grants; Kenya-based; individual and group eligible; active grant cycles,high,no
325,East Africa Philanthropy Network,eastafricaphilanthropy.org,https://eastafricaphilanthropy.org/,Philanthropic Network,East Africa,unknown,Connects East African community foundations and local funders; useful source for finding member grant-making bodies; network-level,medium,no
326,Global Fund for Community Foundations (GFCF),globalfundcommunityfoundations.org,https://globalfundcommunityfoundations.org/grants/,Community Fund Global,Global South,yes,Supports and funds community foundations worldwide including Africa/Asia/LatAm; individual and community group grants; deeply under-indexed; strong fit,high,no
327,African Philanthropy Network,africanphilanthropynetwork.org,https://africanphilanthropynetwork.org/resources/,Philanthropic Network,Africa,unknown,Directory of African philanthropic bodies; not a grant-maker itself but lists member funders worth crawling; strong source discovery tool,medium,no
328,GEF Small Grants Programme,sgp.undp.org,https://sgp.undp.org/apply-for-grants.html,Environmental Fund,Global South,yes,GEF/UNDP; explicitly designed for community groups and individuals in developing countries; up to $50,000; 130+ countries; very under-indexed relative to importance; strong fit,high,no
329,Critical Ecosystem Partnership Fund (CEPF),cepf.net,https://www.cepf.net/grants/getting-grant,Environmental Fund,Biodiversity Hotspots - Global South,yes,Biodiversity hotspot grants; individual researchers and small NGOs eligible; active grant cycles across Africa/Asia/LatAm hotspots; strong fit,high,no
330,Global Greengrants Fund,greengrants.org,https://www.greengrants.org/grants/apply/,Environmental Micro-grants,Global South,yes,Environmental micro-grants for grassroots community groups; individual and small group eligible; very under-indexed; strong fit,high,no
