id,org_name,domain,grants_url,category,region,individual_eligible,notes,confidence,gap_flag,,
1,UNDP - UN Development Programme,undp.org,https://www.undp.org/funding,UN Agency,Global,yes,UNDP YouthConnekt and SDG Finance Innovation grants have individual windows; primarily institutional but individual-eligible components exist,high,no,,
2,UNESCO,unesco.org,https://www.unesco.org/en/funding-opportunities,UN Agency,Global,yes,Fellowships and prizes open to individuals; also funds civil society orgs,high,no,,
3,ITU - International Telecommunication Union,itu.int,https://www.itu.int/en/ITU-D/Pages/Funding.aspx,UN Agency,Global,no,ITU main body primarily intergovernmental; individual access through ITU AI for Good (separate entry ID 4),high,no,,
4,ITU AI for Good,aiforgood.itu.int,https://aiforgood.itu.int/about-ai-for-good/scholar-programme/,UN Agency - AI Specific,Global,yes,Scholars Programme explicitly open to individuals; UN-level platform access,high,no,,
5,UNEP - UN Environment Programme,unep.org,https://www.unep.org/funding-and-grants,UN Agency,Global,no,Primarily funds organizations and governments; no direct individual researcher grant program,high,no,,
6,WHO - World Health Organization,who.int,https://www.who.int/about/funding,UN Agency,Global,yes,WHO Fellowship Programme explicitly open to individual health professionals from developing countries,high,no,,
7,FAO - Food and Agriculture Organization,fao.org,https://www.fao.org/partnerships/resource-mobilization/en/,UN Agency,Global,yes,FAO Fellowships open to individual nationals of developing member countries,high,no,,
8,UNICEF,unicef.org,https://www.unicef.org/partnerships,UN Agency,Global,no,Primarily institutional partnerships and procurement; no open individual grant program,high,no,,
9,UN Women,unwomen.org,https://www.unwomen.org/en/partnerships/civil-society,UN Agency,Global,yes,UN Women Peace and Humanitarian Fund has individual components; Generation Equality open calls,high,no,,
10,ILO - International Labour Organization,ilo.org,https://www.ilo.org/global/about-the-ilo/funding/WCMS_166660/lang--en/index.htm,UN Agency,Global,yes,ILO Young Researchers Award and Fellowship Programme explicitly open to individual researchers,high,no,,
11,UNIDO - UN Industrial Development Organization,unido.org,https://www.unido.org/overview-funding-unido,UN Agency,Global,no,Primarily technical cooperation with governments and institutions; no individual grant window,medium,no,,
12,UN-Habitat,unhabitat.org,https://unhabitat.org/partners-and-donors,UN Agency,Global,no,Urban development grants to cities and local governments; not individual researchers,medium,no,,
13,UNFPA - UN Population Fund,unfpa.org,https://www.unfpa.org/funding,UN Agency,Global,yes,UNFPA Individual consultancies and research grants for population health researchers,medium,no,,
14,WFP - World Food Programme,wfp.org,https://www.wfp.org/funding,UN Agency,Global,no,Humanitarian procurement and institutional partnerships; no individual researcher grants,medium,no,,
15,UNCTAD,unctad.org,https://unctad.org/funding,UN Agency,Global,no,Trade and development policy body; no direct individual researcher grants,medium,no,,
